driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,Xin,Yin,Xout,Yout
-6.851604413,0,0,-5.014272864,-5.002433908,-5.021648287,4.997563372
-7.000931012,0,0,-5.133539953,-5.002523269,-5.141032431,4.997473924
-7.150257067,0,0,-5.252860909,-5.002612767,-5.260361511,4.99738442
-7.299582669,0,0,-5.372116262,-5.002703868,-5.379755366,4.997293215
-7.448907921,0,0,-5.491440577,-5.002795021,-5.499079682,4.997202062
-7.598232898,0,0,-5.610692974,-5.002887828,-5.618475319,4.997109144
-7.747557636,0,0,-5.730013633,-5.002980758,-5.737801902,4.997016209
-7.896882153,0,0,-5.84927379,-5.003075146,-5.857188229,4.996921722
-8.046206478,0,0,-5.968586889,-5.00316981,-5.976520994,4.996827042
-8.195530669,0,0,-6.087854906,-5.003265746,-6.095898567,4.996731019
-8.344854795,0,0,-6.207161272,-5.003362102,-6.215237659,4.996634636
-8.494178917,0,0,-6.326437128,-5.003459552,-6.334607217,4.996537111
-8.643503071,0,0,-6.445737172,-5.00355756,-6.453952409,4.996439066
-8.792827279,0,0,-6.565019761,-5.003656507,-6.573314907,4.996340053
-8.942151563,0,0,-6.684313279,-5.003756154,-6.692666365,4.996240358
-9.091475961,0,0,-6.803602143,-5.003856601,-6.81202262,4.996139854
-9.24080052,0,0,-6.922888977,-5.003957901,-6.931381152,4.996038493
-9.390125287,0,0,-7.042184511,-5.004059861,-7.050731358,4.995936486
-9.539450295,0,0,-7.161464649,-5.004162831,-7.170097239,4.995833443
-9.688775565,0,0,-7.280766982,-5.004266317,-7.28944125,4.99572992
-9.838101118,0,0,-7.400040317,-5.004370971,-7.408814569,4.995625179
-9.987426982,0,0,-7.519349825,-5.004475992,-7.52815222,4.995520134
-10.13675319,0,0,-7.638617068,-5.004582327,-7.647532702,4.995413699
-10.28607978,0,0,-7.757934027,-5.004688879,-7.76686418,4.995307134
-10.43540678,0,0,-7.877195975,-5.004796875,-7.886251318,4.995199025
-10.58473421,0,0,-7.996520268,-5.004904942,-8.005576826,4.995090957
-10.7340621,0,0,-8.115777121,-5.005014579,-8.124970449,4.994981195
-10.88339046,0,0,-8.235102759,-5.005124279,-8.244296086,4.994871495
-11.03271933,0,0,-8.354366617,-5.005235407,-8.363684438,4.994760252
-11.18204873,0,0,-8.473687314,-5.005346729,-8.483016896,4.994648919
-11.3313787,0,0,-8.592959399,-5.005459317,-8.602399011,4.994536227
-11.48070925,0,0,-8.712274802,-5.005572237,-8.721738797,4.994423284
-11.63004041,0,0,-8.831555017,-5.005686268,-8.841114858,4.994309163
-11.7793722,0,0,-8.950865385,-5.005800763,-8.960461851,4.994194632
