time.TIME,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
0.38,3.96872E-05,9.931939451,-5.85323E-06,-3.06892E-06,-0.81144793,0,0,-1.26483E-05,9.13789E-06,8.491460168
0.39,3.89528E-05,9.932216169,-5.87274E-06,-3.11576E-06,-0.910776648,0,0,-1.28069E-05,9.25689E-06,8.504527843
0.4,3.83048E-05,9.932311626,-5.88856E-06,-3.16821E-06,-1.010107962,0,0,-1.29642E-05,9.7526E-06,8.518338611
0.41,3.77153E-05,9.93230004,-5.89189E-06,-3.22565E-06,-1.109440251,0,0,-1.31202E-05,1.0551E-05,8.53451519
0.42,3.71975E-05,9.932349619,-5.89094E-06,-3.28779E-06,-1.208771939,0,0,-1.32757E-05,1.15538E-05,8.551282641
0.43,3.67505E-05,9.932564418,-5.88535E-06,-3.35438E-06,-1.308102929,0,0,-1.34287E-05,1.28875E-05,8.565364861
0.44,3.63741E-05,9.93289949,-5.87285E-06,-3.42496E-06,-1.407434591,0,0,-1.35791E-05,1.44684E-05,8.575018339
0.45,3.6067E-05,9.933215297,-5.85302E-06,-3.49877E-06,-1.506768464,0,0,-1.37268E-05,1.62161E-05,8.581409839
0.46,3.58271E-05,9.933408533,-5.82697E-06,-3.57485E-06,-1.606104948,0,0,-1.3871E-05,1.80338E-05,8.587322823
0.47,3.56458E-05,9.933497009,-5.79647E-06,-3.65228E-06,-1.705443132,0,0,-1.40102E-05,1.98586E-05,8.59462015
0.48,3.55152E-05,9.933589945,-5.76306E-06,-3.73034E-06,-1.80478177,0,0,-1.41427E-05,2.16838E-05,8.60280908
0.49,3.54298E-05,9.933782463,-5.72825E-06,-3.80852E-06,-1.904120442,0,0,-1.42676E-05,2.35237E-05,8.609833267
0.5,3.53879E-05,9.934074525,-5.69333E-06,-3.88632E-06,-2.003459868,0,0,-1.43842E-05,2.53768E-05,8.614151778
0.51,3.539E-05,9.934381893,-5.65935E-06,-3.96317E-06,-2.102801196,0,0,-1.44917E-05,2.72055E-05,8.616153996
0.52,3.54355E-05,9.934619018,-5.62702E-06,-4.03837E-06,-2.202145011,0,0,-1.45893E-05,2.89545E-05,8.617758909
0.53,3.5521E-05,9.934773541,-5.59674E-06,-4.11133E-06,-2.301490943,0,0,-1.46765E-05,3.05864E-05,8.620697776
0.54,3.56407E-05,9.934908452,-5.56858E-06,-4.18166E-06,-2.40083816,0,0,-1.47526E-05,3.21043E-05,8.625057016
0.55,3.5789E-05,9.935098345,-5.54245E-06,-4.24923E-06,-2.500186205,0,0,-1.48176E-05,3.35381E-05,8.629525504
0.56,3.59623E-05,9.935362873,-5.51812E-06,-4.31404E-06,-2.599535407,0,0,-1.48721E-05,3.49127E-05,8.632724431
0.57,3.6159E-05,9.93565568,-5.49527E-06,-4.37605E-06,-2.698886565,0,0,-1.49165E-05,3.62256E-05,8.634418486
0.58,3.6377E-05,9.935912179,-5.47358E-06,-4.43516E-06,-2.798240249,0,0,-1.49514E-05,3.74522E-05,8.635592971
0.59,3.66125E-05,9.936107845,-5.45268E-06,-4.49126E-06,-2.897596386,0,0,-1.49771E-05,3.85733E-05,8.637458524
0.6,3.68601E-05,9.936275025,-5.43229E-06,-4.5444E-06,-2.996954449,0,0,-1.49941E-05,3.95957E-05,8.640372217
0.61,3.71147E-05,9.936468282,-5.41216E-06,-4.59478E-06,-3.096314016,0,0,-1.5003E-05,4.05497E-05,8.643624977
0.62,3.73733E-05,9.936714294,-5.39216E-06,-4.64269E-06,-3.195675181,0,0,-1.50045E-05,4.1467E-05,8.646182713
0.63,3.76347E-05,9.936991701,-5.37228E-06,-4.68837E-06,-3.295038457,0,0,-1.49996E-05,4.23586E-05,8.647627553
0.64,3.7899E-05,9.937255091,-5.35258E-06,-4.73197E-06,-3.394404333,0,0,-1.49888E-05,4.32148E-05,8.648456349
0.65,3.81654E-05,9.937477225,-5.33318E-06,-4.77358E-06,-3.493772891,0,0,-1.49726E-05,4.40212E-05,8.649548793
0.66,3.84322E-05,9.937670648,-5.31422E-06,-4.81331E-06,-3.593143821,0,0,-1.49514E-05,4.47789E-05,8.651362443
0.67,3.86974E-05,9.937872184,-5.29588E-06,-4.85137E-06,-3.692516777,0,0,-1.49256E-05,4.55078E-05,8.653587024
0.68,3.89606E-05,9.938108035,-5.27832E-06,-4.88802E-06,-3.791891714,0,0,-1.48956E-05,4.62319E-05,8.655507216
0.69,3.92225E-05,9.938372101,-5.26174E-06,-4.92346E-06,-3.891268927,0,0,-1.4862E-05,4.6963E-05,8.656677344
0.7,3.94847E-05,9.938634935,-5.24628E-06,-4.95784E-06,-3.990648783,0,0,-1.48252E-05,4.76939E-05,8.657284485
0.71,3.97481E-05,9.938872049,-5.23208E-06,-4.99117E-06,-4.09003142,0,0,-1.47855E-05,4.84095E-05,8.657918583
0.72,4.00123E-05,9.939084698,-5.21918E-06,-5.02351E-06,-4.189416676,0,0,-0.000014743,4.91024E-05,8.659017109
0.73,4.02762E-05,9.939295864,-5.20761E-06,-5.05491E-06,-4.288804284,0,0,-1.46979E-05,4.97789E-05,8.660505381
0.74,4.05391E-05,9.93952775,-5.19733E-06,-5.08549E-06,-4.388194136,0,0,-1.46504E-05,5.04535E-05,8.661924097
0.75,4.08009E-05,9.93978249,-5.18832E-06,-5.11538E-06,-4.487586378,0,0,-1.46009E-05,5.11332E-05,8.662877732
0.76,4.1062E-05,9.940042554,-5.1805E-06,-5.14459E-06,-4.586981261,0,0,-1.45494E-05,5.18121E-05,8.663376442
0.77,4.1322E-05,9.940288255,-5.17374E-06,-5.17311E-06,-4.686378929,0,0,-1.44963E-05,5.24756E-05,8.663785274
0.78,4.15801E-05,9.940515158,-5.16789E-06,-5.20089E-06,-4.785779311,0,0,-1.44414E-05,5.31121E-05,8.664469363
0.79,4.18342E-05,9.940736222,-5.1628E-06,-5.2279E-06,-4.885182216,0,0,-1.43849E-05,5.3721E-05,8.665478924
0.8,4.20829E-05,9.940968528,-5.15828E-06,-5.25417E-06,-4.984587518,0,0,-1.43267E-05,5.43094E-05,8.666544289
0.81,4.23248E-05,9.94121792,-5.15429E-06,-5.27973E-06,-5.083995263,0,0,-1.4267E-05,5.48831E-05,8.667350206
0.82,4.25592E-05,9.941475181,-5.15083E-06,-5.30458E-06,-5.183405614,0,0,-1.42058E-05,5.54404E-05,8.66781856
0.83,4.27856E-05,9.941725784,-5.14783E-06,-5.32868E-06,-5.282818693,0,0,-1.41432E-05,5.59719E-05,8.668151974
0.84,4.30032E-05,9.941963165,-5.14522E-06,-5.35197E-06,-5.382234483,0,0,-1.4079E-05,5.64694E-05,8.668627353
0.85,0.000043211,9.94219355,-5.14299E-06,-5.3744E-06,-5.481652856,0,0,-1.40132E-05,5.69316E-05,8.669347766
0.86,4.34082E-05,9.942429079,-5.14116E-06,-0.000005396,-5.581073695,0,0,-1.39456E-05,5.73656E-05,8.670173806
0.87,4.35946E-05,9.942676545,-5.13979E-06,-5.41679E-06,-5.680496994,0,0,-1.38764E-05,5.77796E-05,8.670873973
0.88,4.37705E-05,9.942932079,-5.13891E-06,-5.43678E-06,-5.779922847,0,0,-1.38055E-05,5.81764E-05,8.671338105
0.89,4.39366E-05,9.94318573,-5.13854E-06,-5.45598E-06,-5.879351349,0,0,-1.37328E-05,5.85531E-05,8.671660588
0.9,4.40932E-05,9.943430828,-5.13866E-06,-5.47436E-06,-5.978782513,0,0,-1.36585E-05,5.89046E-05,8.672035532
0.91,4.42405E-05,9.943669428,-5.13922E-06,-5.49192E-06,-6.07821626,0,0,-1.35823E-05,5.92313E-05,8.672576672
0.92,4.43784E-05,9.943909522,-5.14015E-06,-5.50868E-06,-6.177652496,0,0,-1.35044E-05,5.9539E-05,8.673227594
0.93,4.4507E-05,9.944157388,-5.14137E-06,-5.5247E-06,-6.27709119,0,0,-1.34247E-05,5.98354E-05,8.673830376
0.94,4.4627E-05,9.944412307,-5.14279E-06,-5.54003E-06,-6.376532391,0,0,-1.33433E-05,6.01258E-05,8.67427479
0.95,4.47393E-05,9.944667969,-5.14433E-06,-5.55469E-06,-6.475976169,0,0,-1.32604E-05,6.04094E-05,8.674588876
0.96,4.48443E-05,9.944918602,-5.14591E-06,-5.56871E-06,-6.57542255,0,0,-1.3176E-05,6.06835E-05,8.674898555
0.97,4.49424E-05,9.945163928,-5.14744E-06,-5.5821E-06,-6.674871492,0,0,-1.30902E-05,6.0947E-05,8.675306379
0.98,4.50337E-05,9.94540877,-5.14885E-06,-5.59489E-06,-6.774322928,0,0,-1.30028E-05,6.1203E-05,8.675804336
0.99,4.51184E-05,9.945658252,-5.15008E-06,-5.60713E-06,-6.87377682,0,0,-1.29142E-05,6.14574E-05,8.676292882
1,4.51971E-05,9.94591328,-5.15107E-06,-5.61887E-06,-6.973233189,0,0,-1.28242E-05,6.1714E-05,8.676677567
1.01,4.52704E-05,9.946170213,-5.15179E-06,-5.63013E-06,-7.072692084,0,0,-1.2733E-05,6.19733E-05,8.676950207
1.02,4.5339E-05,9.946424534,-5.15223E-06,-5.64094E-06,-7.172153537,0,0,-1.26407E-05,6.22325E-05,8.677185604
1.03,4.54033E-05,9.946674869,-5.15235E-06,-5.6513E-06,-7.27161753,0,0,-1.25473E-05,6.24894E-05,8.677466271
1.04,4.54637E-05,9.946923802,-5.15216E-06,-5.66122E-06,-7.371084019,0,0,-1.24527E-05,6.27449E-05,8.677808971
1.05,4.55203E-05,9.947175157,-5.15166E-06,-5.67073E-06,-7.47055297,0,0,-1.23571E-05,6.30018E-05,8.67815692
1.06,4.55736E-05,9.947430494,-5.15086E-06,-5.67984E-06,-7.570024389,0,0,-1.22604E-05,6.32632E-05,8.678437007
1.07,4.56243E-05,9.947687988,-5.14977E-06,-5.68859E-06,-7.669498309,0,0,-1.21628E-05,6.3529E-05,8.678624765
1.08,4.5673E-05,9.947944376,-5.14841E-06,-5.69696E-06,-7.76897476,0,0,-1.20642E-05,6.37971E-05,8.678759583
