driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,D1,D2
-300.8373912,-93.08633679,-0.040328493,5.000997584,5.000997584
-300.8148766,-93.18365038,-0.040323944,5.000997341,5.000997341
-300.7923649,-93.28095209,-0.040319396,5.001027135,5.001027135
-300.7703329,-93.37988134,-0.040269965,5.000997173,5.000997173
-300.7488049,-93.47739684,-0.040211342,5.00102738,5.00102738
-300.7272867,-93.57645149,-0.04015248,5.000996997,5.000996997
-300.706741,-93.67416966,-0.040095754,5.000996794,5.000996794
-300.6861975,-93.77187786,-0.040039033,5.001027625,5.001027625
-300.6661722,-93.87125741,-0.039990764,5.00099664,5.00099664
-300.646609,-93.96915875,-0.039944994,5.001027789,5.001027789
-300.6270973,-94.06864863,-0.03991503,5.000996482,5.000996482
-300.6085136,-94.16673259,-0.039914758,5.00099631,5.00099631
-300.5899315,-94.26480806,-0.039914486,5.001028064,5.001028064
-300.571912,-94.36459279,-0.039927131,5.000996176,5.000996176
-300.5543108,-94.46284221,-0.039941636,5.001028301,5.001028301
-300.5368064,-94.56273048,-0.03995695,5.00099604,5.00099604
-300.5201885,-94.66114411,-0.03997295,5.000995889,5.000995889
-300.5035718,-94.75955023,-0.039988949,5.001028583,5.001028583
-300.4875676,-94.85970386,-0.040003391,5.000995773,5.000995773
-300.4719366,-94.95826546,-0.040017364,5.001028798,5.001028798
-300.456451,-95.05851134,-0.040025251,5.000995653,5.000995653
-300.441808,-95.15721849,-0.040023745,5.000995514,5.000995514
-300.427166,-95.25591874,-0.040022239,5.001029029,5.001029029
-300.4131879,-95.35639743,-0.040017459,5.000995409,5.000995409
-300.399535,-95.45523403,-0.040012419,5.001029186,5.001029186
-300.3860778,-95.55579157,-0.040007995,5.000995298,5.000995298
-300.3734149,-95.65475428,-0.040004586,5.000995168,5.000995168
-300.3607528,-95.75371052,-0.040001177,5.001029395,5.001029395
-300.348807,-95.85446918,-0.039999094,5.000995069,5.000995069
-300.3371358,-95.9535422,-0.039997155,5.001029536,5.001029536
-300.3257124,-96.05436841,-0.039995556,5.000994964,5.000994964
-300.315033,-96.15354797,-0.039994441,5.000994844,5.000994844
-300.3043543,-96.25272151,-0.039993327,5.001029729,5.001029729
-300.2944457,-96.35371742,-0.039993494,5.000994753,5.000994753
-300.2847596,-96.45298825,-0.039993729,5.001029851,5.001029851
-300.2753749,-96.55404021,-0.039994721,5.000994657,5.000994657
-300.2666824,-96.65339815,-0.039996543,5.000994548,5.000994548
