Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle.Side_Slip_Angle,Gyro.gyro_X,Gyro.gyro_Y,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
3.83E-05,9.932311626,-5.89E-06,-3.17E-06,3.91E-06,2.820608834,3.22E-05,-1.010107962,0,0,-1.30E-05,9.7526E-06
3.77E-05,9.93230004,-5.89E-06,-3.23E-06,3.86E-06,2.919931912,3.22E-05,-1.109440251,0,0,-1.31E-05,1.0551E-05
3.72E-05,9.932349619,-5.89E-06,-3.29E-06,3.81E-06,3.019255041,3.23E-05,-1.208771939,0,0,-1.33E-05,1.15538E-05
3.68E-05,9.932564418,-5.89E-06,-3.35E-06,3.77E-06,3.118579465,3.23E-05,-1.308102929,0,0,-1.34E-05,1.28875E-05
3.64E-05,9.93289949,-5.87E-06,-3.42E-06,3.74E-06,3.217906735,3.24E-05,-1.407434591,0,0,-1.36E-05,1.44684E-05
3.61E-05,9.933215297,-5.85E-06,-3.50E-06,3.71E-06,3.317237384,3.24E-05,-1.506768464,0,0,-1.37E-05,1.62161E-05
3.58E-05,9.933408533,-5.83E-06,-3.57E-06,3.69E-06,3.416570619,3.24E-05,-1.606104948,0,0,-1.39E-05,1.80338E-05
3.56E-05,9.933497009,-5.80E-06,-3.65E-06,3.67E-06,3.515905196,3.24E-05,-1.705443132,0,0,-1.40E-05,1.98586E-05
3.55E-05,9.933589945,-5.76E-06,-3.73E-06,3.66E-06,3.615240576,3.23E-05,-1.80478177,0,0,-1.41E-05,2.16838E-05
3.54E-05,9.933782463,-5.73E-06,-3.81E-06,3.65E-06,3.714577336,3.23E-05,-1.904120442,0,0,-1.43E-05,2.35237E-05
3.54E-05,9.934074525,-5.69E-06,-3.89E-06,3.65E-06,3.813916564,3.23E-05,-2.003459868,0,0,-1.44E-05,2.53768E-05
3.54E-05,9.934381893,-5.66E-06,-3.96E-06,3.65E-06,3.913258876,3.22E-05,-2.102801196,0,0,-1.45E-05,2.72055E-05
3.54E-05,9.934619018,-5.63E-06,-4.04E-06,3.65E-06,4.01260396,3.22E-05,-2.202145011,0,0,-1.46E-05,2.89545E-05
3.55E-05,9.934773541,-5.60E-06,-4.11E-06,3.65E-06,4.111950975,3.21E-05,-2.301490943,0,0,-1.47E-05,3.05864E-05
3.56E-05,9.934908452,-5.57E-06,-4.18E-06,3.66E-06,4.211299365,3.21E-05,-2.40083816,0,0,-1.48E-05,3.21043E-05
3.58E-05,9.935098345,-5.54E-06,-4.25E-06,3.67E-06,4.310649332,3.20E-05,-2.500186205,0,0,-1.48E-05,3.35381E-05
3.60E-05,9.935362873,-5.52E-06,-4.31E-06,3.68E-06,4.410001587,3.19E-05,-2.599535407,0,0,-1.49E-05,3.49127E-05
3.62E-05,9.93565568,-5.50E-06,-4.38E-06,3.70E-06,4.509356685,3.19E-05,-2.698886565,0,0,-1.49E-05,3.62256E-05
3.64E-05,9.935912179,-5.47E-06,-4.44E-06,3.72E-06,4.608714575,3.18E-05,-2.798240249,0,0,-1.50E-05,3.74522E-05
3.66E-05,9.936107845,-5.45E-06,-4.49E-06,3.73E-06,4.708074721,3.17E-05,-2.897596386,0,0,-1.50E-05,3.85733E-05
3.69E-05,9.936275025,-5.43E-06,-4.54E-06,3.75E-06,4.807436636,3.16E-05,-2.996954449,0,0,-1.50E-05,3.95957E-05
3.71E-05,9.936468282,-5.41E-06,-4.59E-06,3.77E-06,4.906800311,3.15E-05,-3.096314016,0,0,-1.50E-05,4.05497E-05
3.74E-05,9.936714294,-5.39E-06,-4.64E-06,3.80E-06,5.006166181,3.14E-05,-3.195675181,0,0,-1.50E-05,4.1467E-05
3.76E-05,9.936991701,-5.37E-06,-4.69E-06,3.82E-06,5.105534704,3.13E-05,-3.295038457,0,0,-1.50E-05,4.23586E-05
3.79E-05,9.937255091,-5.35E-06,-4.73E-06,3.84E-06,5.204905967,3.13E-05,-3.394404333,0,0,-1.50E-05,4.32148E-05
3.82E-05,9.937477225,-5.33E-06,-4.77E-06,3.87E-06,5.304279664,3.12E-05,-3.493772891,0,0,-1.50E-05,4.40212E-05
3.84E-05,9.937670648,-5.31E-06,-4.81E-06,3.89E-06,5.403655413,3.11E-05,-3.593143821,0,0,-1.50E-05,4.47789E-05
3.87E-05,9.937872184,-5.30E-06,-4.85E-06,3.91E-06,5.503033105,3.10E-05,-3.692516777,0,0,-1.49E-05,4.55078E-05
3.90E-05,9.938108035,-5.28E-06,-4.89E-06,3.94E-06,5.602412975,3.09E-05,-3.791891714,0,0,-1.49E-05,4.62319E-05
3.92E-05,9.938372101,-5.26E-06,-4.92E-06,3.96E-06,5.701795362,3.08E-05,-3.891268927,0,0,-1.49E-05,4.6963E-05
3.95E-05,9.938634935,-5.25E-06,-4.96E-06,3.99E-06,5.801180412,3.07E-05,-3.990648783,0,0,-1.48E-05,4.76939E-05
3.97E-05,9.938872049,-5.23E-06,-4.99E-06,4.01E-06,5.900567973,3.06E-05,-4.09003142,0,0,-1.48E-05,4.84095E-05
4.00E-05,9.939084698,-5.22E-06,-5.02E-06,4.04E-06,5.999957769,3.04E-05,-4.189416676,0,0,-0.000014743,4.91024E-05
4.03E-05,9.939295864,-5.21E-06,-5.05E-06,4.06E-06,6.099349662,3.03E-05,-4.288804284,0,0,-1.47E-05,4.97789E-05
4.05E-05,9.93952775,-5.20E-06,-5.09E-06,4.09E-06,6.198743758,3.02E-05,-4.388194136,0,0,-1.47E-05,5.04535E-05
4.08E-05,9.93978249,-5.19E-06,-5.12E-06,4.11E-06,6.298140295,3.01E-05,-4.487586378,0,0,-1.46E-05,5.11332E-05
4.11E-05,9.940042554,-5.18E-06,-5.14E-06,4.14E-06,6.397539425,3.00E-05,-4.586981261,0,0,-1.45E-05,5.18121E-05
4.13E-05,9.940288255,-5.17E-06,-5.17E-06,4.16E-06,6.496941096,2.99E-05,-4.686378929,0,0,-1.45E-05,5.24756E-05
4.16E-05,9.940515158,-5.17E-06,-5.20E-06,4.19E-06,6.596345126,2.98E-05,-4.785779311,0,0,-1.44E-05,5.31121E-05
4.18E-05,9.940736222,-5.16E-06,-5.23E-06,4.21E-06,6.69575138,2.97E-05,-4.885182216,0,0,-1.44E-05,5.3721E-05
4.21E-05,9.940968528,-5.16E-06,-5.25E-06,4.24E-06,6.795159889,2.96E-05,-4.984587518,0,0,-1.43E-05,5.43094E-05
4.23E-05,9.94121792,-5.15E-06,-5.28E-06,4.26E-06,6.894570809,2.95E-05,-5.083995263,0,0,-1.43E-05,5.48831E-05
4.26E-05,9.941475181,-5.15E-06,-5.30E-06,4.28E-06,6.993984274,2.94E-05,-5.183405614,0,0,-1.42E-05,5.54404E-05
4.28E-05,9.941725784,-5.15E-06,-5.33E-06,4.30E-06,7.093400289,2.93E-05,-5.282818693,0,0,-1.41E-05,5.59719E-05
4.30E-05,9.941963165,-5.15E-06,-5.35E-06,4.32E-06,7.192818744,2.92E-05,-5.382234483,0,0,-1.41E-05,5.64694E-05
0.000043211,9.94219355,-5.14E-06,-5.37E-06,4.34E-06,7.292239529,2.91E-05,-5.481652856,0,0,-1.40E-05,5.69316E-05
4.34E-05,9.942429079,-5.14E-06,-0.000005396,4.36E-06,7.391662633,2.90E-05,-5.581073695,0,0,-1.39E-05,5.73656E-05
4.36E-05,9.942676545,-5.14E-06,-5.42E-06,4.38E-06,7.491088151,2.89E-05,-5.680496994,0,0,-1.39E-05,5.77796E-05
4.38E-05,9.942932079,-5.14E-06,-5.44E-06,4.39E-06,7.590516191,2.88E-05,-5.779922847,0,0,-1.38E-05,5.81764E-05
4.39E-05,9.94318573,-5.14E-06,-5.46E-06,4.41E-06,7.689946786,2.87E-05,-5.879351349,0,0,-1.37E-05,5.85531E-05
4.41E-05,9.943430828,-5.14E-06,-5.47E-06,4.42E-06,7.789379877,2.85E-05,-5.978782513,0,0,-1.37E-05,5.89046E-05
4.42E-05,9.943669428,-5.14E-06,-5.49E-06,4.44E-06,7.88881538,2.84E-05,-6.07821626,0,0,-1.36E-05,5.92313E-05
4.44E-05,9.943909522,-5.14E-06,-5.51E-06,4.45E-06,7.98825327,2.83E-05,-6.177652496,0,0,-1.35E-05,5.9539E-05
4.45E-05,9.944157388,-5.14E-06,-5.52E-06,4.46E-06,8.087693597,2.82E-05,-6.27709119,0,0,-1.34E-05,5.98354E-05
4.46E-05,9.944412307,-5.14E-06,-5.54E-06,4.47E-06,8.187136442,2.81E-05,-6.376532391,0,0,-1.33E-05,6.01258E-05
4.47E-05,9.944667969,-5.14E-06,-5.55E-06,4.48E-06,8.286581846,2.80E-05,-6.475976169,0,0,-1.33E-05,6.04094E-05
4.48E-05,9.944918602,-5.15E-06,-5.57E-06,4.49E-06,8.386029784,2.79E-05,-6.57542255,0,0,-1.32E-05,6.06835E-05
4.49E-05,9.945163928,-5.15E-06,-5.58E-06,4.50E-06,8.4854802,2.78E-05,-6.674871492,0,0,-1.31E-05,6.0947E-05
4.50E-05,9.94540877,-5.15E-06,-5.59E-06,4.51E-06,8.584933061,2.77E-05,-6.774322928,0,0,-1.30E-05,6.1203E-05
4.51E-05,9.945658252,-5.15E-06,-5.61E-06,4.51E-06,8.684388391,2.76E-05,-6.87377682,0,0,-1.29E-05,6.14574E-05
4.52E-05,9.94591328,-5.15E-06,-5.62E-06,4.52E-06,8.783846245,2.74E-05,-6.973233189,0,0,-1.28E-05,6.1714E-05
4.53E-05,9.946170213,-5.15E-06,-5.63E-06,4.53E-06,8.883306663,2.73E-05,-7.072692084,0,0,-1.27E-05,6.19733E-05
4.53E-05,9.946424534,-5.15E-06,-5.64E-06,4.53E-06,8.98276964,2.72E-05,-7.172153537,0,0,-1.26E-05,6.22325E-05
4.54E-05,9.946674869,-5.15E-06,-5.65E-06,4.54E-06,9.08223514,2.71E-05,-7.27161753,0,0,-1.25E-05,6.24894E-05
4.55E-05,9.946923802,-5.15E-06,-5.66E-06,4.54E-06,9.181703133,2.70E-05,-7.371084019,0,0,-1.25E-05,6.27449E-05
4.55E-05,9.947175157,-5.15E-06,-5.67E-06,4.55E-06,9.281173624,2.69E-05,-7.47055297,0,0,-1.24E-05,6.30018E-05
4.56E-05,9.947430494,-5.15E-06,-5.68E-06,4.55E-06,9.380646649,2.68E-05,-7.570024389,0,0,-1.23E-05,6.32632E-05
4.56E-05,9.947687988,-5.15E-06,-5.69E-06,4.56E-06,9.480122241,2.67E-05,-7.669498309,0,0,-1.22E-05,6.3529E-05
4.57E-05,9.947944376,-5.15E-06,-5.70E-06,4.56E-06,9.579600405,2.65E-05,-7.76897476,0,0,-1.21E-05,6.37971E-05
4.57E-05,9.948197942,-5.15E-06,-5.70E-06,4.57E-06,9.679081119,2.64E-05,-7.868453739,0,0,-1.20E-05,6.4065E-05
4.58E-05,9.94844981,-5.14E-06,-5.71E-06,4.57E-06,9.778564358,2.63E-05,-7.967935222,0,0,-1.19E-05,6.43316E-05
4.58E-05,9.94870262,-5.14E-06,-5.72E-06,4.57E-06,9.878050119,2.62E-05,-8.067419181,0,0,-1.18E-05,6.45988E-05
4.59E-05,9.948958023,-5.14E-06,-5.73E-06,4.58E-06,9.97753842,2.61E-05,-8.166905615,0,0,-1.17E-05,6.48679E-05
4.59E-05,9.949215333,-5.14E-06,-5.73E-06,4.58E-06,10.07702929,2.60E-05,-8.266394545,0,0,-1.16E-05,6.51394E-05
4.59E-05,9.949472364,-5.14E-06,-5.74E-06,4.58E-06,10.17652273,2.59E-05,-8.365885995,0,0,-1.15E-05,6.54118E-05
4.60E-05,9.949727478,-5.13E-06,-5.74E-06,4.59E-06,10.27601873,2.57E-05,-8.465379972,0,0,-1.13E-05,6.56826E-05
4.60E-05,9.949980928,-5.13E-06,-5.75E-06,4.59E-06,10.37551727,2.56E-05,-8.564876463,0,0,-1.12E-05,6.59508E-05
