Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-0.230700686,11.97934509,-0.014935052,-0.117055791,-434.748084,-138.8790517,-0.019999978,-0.001410066,-1.088243169,10.62814022
-0.230676172,11.97946253,-0.014933519,-0.119463099,-434.8672503,-138.8668305,-0.019999942,-0.001567056,-1.088733637,10.62794245
-0.230652631,11.97957976,-0.014932134,-0.121870151,-434.9864213,-138.8545721,-0.019999902,-0.001472039,-1.088221193,10.62773198
-0.230630252,11.97969697,-0.014930888,-0.124276965,-435.1055326,-138.8418067,-0.01999993,-0.001598709,-1.088446039,10.62751596
-0.230608244,11.97981401,-0.014929776,-0.126683551,-435.2246431,-138.8289523,-0.01999997,-0.001525496,-1.088179743,10.6272886
-0.230586886,11.97993097,-0.014928778,-0.129089921,-435.343697,-138.815643,-0.019999949,-0.001622037,-1.088137303,10.62705403
-0.230565385,11.98004784,-0.014927869,-0.131496086,-435.462744,-138.8021929,-0.019999909,-0.001570807,-1.088115778,10.62680975
-0.23054415,11.98016458,-0.014927028,-0.133902053,-435.581738,-138.7883399,-0.019999923,-0.001637421,-1.087805431,10.62655631
-0.230522409,11.98028132,-0.014926218,-0.13630783,-435.7007186,-138.7742945,-0.019999963,-0.00160835,-1.08802826,10.62629424
-0.230500671,11.9803979,-0.014925426,-0.138713421,-435.8196503,-138.759898,-0.019999956,-0.001645236,-1.087450325,10.62602071
-0.230478163,11.98051456,-0.014924611,-0.141118832,-435.9385616,-138.7452576,-0.019999916,-0.001638496,-1.087918036,10.62573971
-0.230455493,11.98063098,-0.014923772,-0.14352406,-436.0574285,-138.7303179,-0.019999917,-0.001645835,-1.087073724,10.62544539
-0.230431877,11.98074755,-0.014922869,-0.145929109,-436.1762673,-138.7150828,-0.019999957,-0.00166157,-1.087787621,10.62514513
-0.230408014,11.98086384,-0.014921916,-0.148333972,-436.2950671,-138.6996002,-0.019999963,-0.001639517,-1.086678867,10.62482973
-0.230383103,11.98098036,-0.014920876,-0.15073865,-436.4138306,-138.6837708,-0.019999923,-0.001677845,-1.087640943,10.62450969
-0.230357925,11.98109655,-0.014919778,-0.15314313,-436.5325607,-138.6677455,-0.01999991,-0.001626529,-1.086270224,10.62417248
-0.230331655,11.98121303,-0.014918583,-0.155547413,-436.6512459,-138.6513221,-0.019999949,-0.001687542,-1.087482816,10.623832
-0.23030515,11.98132912,-0.014917335,-0.157951482,-436.7699039,-138.6347544,-0.01999997,-0.001607066,-1.085852865,10.6234727
-0.230277557,11.98144555,-0.014915993,-0.160355337,-436.8885078,-138.6177375,-0.01999993,-0.00169084,-1.087318558,10.62311189
-0.230249942,11.9815615,-0.014914613,-0.162758959,-437.0070913,-138.6006277,-0.019999902,-0.001581298,-1.085922981,10.62273082
-0.230223338,11.98167755,-0.014913187,-0.165162355,-437.1256109,-138.5830176,-0.019999942,-0.001687894,-1.087153591,10.62235097
-0.230198054,11.98179307,-0.014911775,-0.167565519,-437.2441176,-138.565366,-0.019999976,-0.001549363,-1.086011818,10.62195558
-0.230174725,11.98190854,-0.014910388,-0.169968466,-437.3625499,-138.5471632,-0.019999937,-0.001678836,-1.086983809,10.62156201
-0.230153089,11.98202347,-0.014909085,-0.172371197,-437.4809833,-138.5289603,-0.019999897,-0.001520201,-1.086092466,10.62115675
-0.230133434,11.98213827,-0.014907879,-0.174773731,-437.5993192,-138.510175,-0.019999936,-0.001663801,-1.086802508,10.62075307
-0.230115152,11.98225263,-0.014906808,-0.177176076,-437.7176624,-138.4913798,-0.019999976,-0.00152813,-1.086159871,10.62033951
-0.230098408,11.98236686,-0.014905872,-0.179578248,-437.8359135,-138.4720539,-0.019999944,-0.001642961,-1.086606822,10.61992517
-0.230082442,11.98248074,-0.014905084,-0.181980257,-437.9541635,-138.4526667,-0.019999904,-0.001530351,-1.086209789,10.61950168
-0.230067445,11.98259441,-0.01490443,-0.184382118,-438.0723274,-138.4328005,-0.019999929,-0.001616544,-1.086391205,10.61907531
-0.23005262,11.98270778,-0.014903897,-0.186783841,-438.1904812,-138.412822,-0.019999969,-0.001527113,-1.086237583,10.6186415
-0.230038273,11.98282089,-0.014903463,-0.189185438,-438.3085553,-138.3924157,-0.019999951,-0.001584824,-1.086152088,10.61820337
-0.230023622,11.9829338,-0.014903098,-0.191586916,-438.4266101,-138.3718463,-0.019999911,-0.001518715,-1.086240812,10.61775923
-0.230009105,11.98304642,-0.014902782,-0.193988283,-438.544592,-138.3509004,-0.019999922,-0.001548108,-1.085888065,10.61730839
-0.229993954,11.98315894,-0.014902476,-0.196389545,-438.6625447,-138.3297406,-0.019999961,-0.001505454,-1.086218993,10.61685227
-0.229978705,11.98327113,-0.014902168,-0.198790704,-438.7804321,-138.3082554,-0.019999957,-0.001506685,-1.08559956,10.61638714
-0.22996258,11.98338327,-0.014901818,-0.201191764,-438.8982797,-138.2865057,-0.019999917,-0.001487613,-1.086173478,10.6159181
-0.229946211,11.98349503,-0.014901429,-0.203592721,-439.01607,-138.2644818,-0.019999915,-0.001460815,-1.08528881,10.61543839
-0.229928812,11.98360682,-0.014900961,-0.205993576,-439.1338096,-138.2421426,-0.019999955,-0.00146542,-1.08610727,10.61495627
-0.229911107,11.98371819,-0.014900434,-0.208394322,-439.2515004,-138.2195803,-0.019999964,-0.001410701,-1.084959491,10.61446143
-0.229892293,11.98382967,-0.01489981,-0.210794957,-439.369129,-138.1966523,-0.019999925,-0.001439054,-1.08602465,10.61396521
-0.229873174,11.98394069,-0.014899122,-0.213195467,-439.486718,-138.1735519,-0.019999908,-0.001356494,-1.084616343,10.6134542
-0.229852921,11.98405189,-0.014898334,-0.215595852,-439.6042327,-138.1500357,-0.019999949,-0.001408639,-1.085930623,10.6129433
-0.229832446,11.98416253,-0.014897491,-0.217996093,-439.7217173,-138.1263977,-0.019999972,-0.001298297,-1.084382169,10.61241616
-0.229811353,11.98427334,-0.014896562,-0.220396192,-439.8391151,-138.1022937,-0.019999932,-0.001374267,-1.08583055,10.61189119
-0.229790532,11.98438353,-0.014895605,-0.222796131,-439.9564929,-138.0781186,-0.019999901,-0.001236192,-1.084534672,10.61134996
-0.229770974,11.98449367,-0.014894617,-0.225195919,-440.0737709,-138.0534275,-0.019999941,-0.001336004,-1.085727534,10.61081295
-0.229752824,11.98460316,-0.014893659,-0.227595552,-440.1910395,-138.0287158,-0.019999978,-0.001170233,-1.08468242,10.6102642
-0.22973661,11.98471245,-0.014892743,-0.229995045,-440.3081947,-138.0034381,-0.019999938,-0.001293905,-1.085616309,10.60971996
-0.229721967,11.98482113,-0.014891922,-0.2323944,-440.4253509,-137.9781602,-0.019999898,-0.00112988,-1.084819535,10.60916732
-0.229709137,11.98492955,-0.014891205,-0.234793635,-440.5423811,-137.9523265,-0.019999934,-0.001248038,-1.08549225,10.60861844
-0.22969747,11.98503746,-0.014890624,-0.237192757,-440.6594116,-137.9264627,-0.019999974,-0.001107913,-1.084941273,10.6080626
-0.229687128,11.98514511,-0.014890175,-0.239591782,-440.7763248,-137.9000939,-0.019999945,-0.001198514,-1.085350871,10.60750804
-0.22967734,11.98525232,-0.014889863,-0.241990719,-440.8932266,-137.8736447,-0.019999905,-0.001082358,-1.085042873,10.60694729
-0.22966832,11.98535921,-0.014889671,-0.244389581,-441.0100202,-137.8467413,-0.019999928,-0.001145504,-1.085187208,10.60638584
-0.229659278,11.98546572,-0.014889581,-0.246788377,-441.1267904,-137.8197075,-0.019999968,-0.001053405,-1.085120332,10.60581985
-0.229650553,11.98557187,-0.014889572,-0.249187117,-441.2434621,-137.7922701,-0.019999952,-0.001089219,-1.084998338,10.60525152
-0.229641375,11.98567774,-0.01488961,-0.251585806,-441.3600978,-137.7646523,-0.019999912,-0.001021284,-1.085171838,10.60467988
