Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-1.156026776,2.62739E-05,6.35897E-07,15,-4.99067E-06,-1.1E-11,0,0,0,0
-1.006015471,2.62768E-05,1.38495E-06,15.00180728,-4.98654E-06,-2.346E-09,0,-1.93068E-06,-1.3E-11,8.06839E-06
-0.856006398,2.62905E-05,2.96702E-06,14.99907833,-4.96799E-06,-1.4029E-08,0,-1.9406E-06,-1.4413E-08,0.009919591
-0.706048797,2.63211E-05,5.32054E-06,14.99191911,-4.9269E-06,-4.0971E-08,0,-1.98247E-06,-7.349E-08,0.064384331
-0.556172829,2.63731E-05,8.27343E-06,14.98328516,-4.85846E-06,-8.7371E-08,0,-2.07406E-06,-1.3011E-07,0.194874061
-0.406378979,2.64484E-05,1.16367E-05,14.97583556,-4.76438E-06,-1.55941E-07,0,-2.22735E-06,-3.0685E-08,0.424180728
-0.256648608,2.65469E-05,1.52707E-05,14.97059796,-4.65171E-06,-2.48018E-07,0,-2.44797E-06,4.73815E-07,0.762474301
-0.106961881,2.66674E-05,1.90843E-05,14.96690004,-4.53174E-06,-3.63291E-07,0,-2.73611E-06,1.68571E-06,1.206887607
0.042690289,2.6808E-05,2.30197E-05,14.96350099,-4.41588E-06,-4.9992E-07,0,-3.08711E-06,3.88375E-06,1.747294776
0.192306902,2.69667E-05,2.70326E-05,14.95976507,-4.31438E-06,-6.55136E-07,0,-3.49322E-06,7.31252E-06,2.371489542
0.341885355,2.71415E-05,3.10871E-05,14.95597329,-4.23513E-06,-8.26021E-07,0,-3.94538E-06,1.20655E-05,3.063370638
0.491428363,2.73305E-05,3.51571E-05,14.95277393,-4.18305E-06,-1.00992E-06,0,-4.43497E-06,1.81794E-05,3.797851743
0.640943824,2.7532E-05,3.92279E-05,14.95046118,-4.16025E-06,-1.20429E-06,0,-4.9546E-06,2.55681E-05,4.541434654
0.790439581,2.77447E-05,4.32925E-05,14.94874864,-4.16653E-06,-1.4062E-06,0,-5.49772E-06,3.39885E-05,5.260487458
0.939919063,2.79674E-05,4.7341E-05,14.94713291,-4.19981E-06,-1.61214E-06,0,-6.05794E-06,4.3019E-05,5.929297935
1.089381787,2.81996E-05,5.135E-05,14.94540292,-4.25647E-06,-1.81823E-06,0,-6.62864E-06,5.21072E-05,6.529949912
1.238827509,2.84409E-05,5.52806E-05,14.94380186,-4.33199E-06,-2.02072E-06,0,-7.20334E-06,6.06778E-05,7.046120845
1.388259618,2.8691E-05,5.90829E-05,14.94273984,-4.42089E-06,-2.21639E-06,0,-7.77635E-06,6.8241E-05,7.460371121
1.537684632,2.89498E-05,6.27076E-05,14.94237306,-4.51747E-06,-2.40261E-06,0,-8.34319E-06,7.44484E-05,7.760460735
1.687108515,2.92166E-05,6.61118E-05,14.94244075,-4.62077E-06,-2.5772E-06,0,-8.90025E-06,7.91173E-05,7.949929239
1.836533293,2.9491E-05,6.92589E-05,14.94247559,-4.72434E-06,-2.7381E-06,0,-9.44358E-06,8.22617E-05,8.053835205
1.985956816,2.97724E-05,7.21106E-05,14.94216512,-4.82387E-06,-2.88355E-06,0,-9.97061E-06,8.41086E-05,8.116415596
2.135375514,3.006E-05,7.46277E-05,14.94154424,-4.91762E-06,-3.01239E-06,0,-1.04787E-05,8.50364E-05,8.18137873
2.284787558,3.0353E-05,7.6779E-05,14.94088658,-5.00468E-06,-3.12422E-06,0,-1.09654E-05,8.51751E-05,8.253883802
2.434193907,3.065E-05,7.85486E-05,14.94042927,-5.08458E-06,-3.21936E-06,0,-1.14296E-05,8.46217E-05,8.328181529
2.583596843,3.09497E-05,7.99375E-05,14.94018593,-5.1572E-06,-3.2985E-06,0,-1.18706E-05,8.34681E-05,8.399761038
2.732997736,3.12506E-05,8.09597E-05,14.93998531,-5.22276E-06,-3.36246E-06,0,-1.22884E-05,8.17756E-05,8.468501933
2.882396084,3.15515E-05,8.16366E-05,14.93965864,-5.2817E-06,-3.41203E-06,0,-1.26828E-05,7.95851E-05,8.537497824
3.031790389,3.18511E-05,8.19914E-05,14.93918856,-5.33454E-06,-3.44819E-06,0,-1.30538E-05,7.6948E-05,8.609374108
3.181179764,3.21481E-05,8.20494E-05,14.93869953,-5.38185E-06,-3.47225E-06,0,-1.34018E-05,7.39477E-05,8.683702847
3.330564748,3.24415E-05,8.18394E-05,14.93832603,-5.42419E-06,-3.48583E-06,0,-1.37277E-05,7.06908E-05,8.757528555
3.479946737,3.27302E-05,8.13955E-05,14.93809315,-5.46213E-06,-3.49069E-06,0,-1.40333E-05,6.72785E-05,8.82801061
3.629326753,3.30132E-05,8.07553E-05,14.93791045,-5.49617E-06,-3.48852E-06,0,-1.43203E-05,6.37841E-05,8.894551246
3.778704709,3.32896E-05,7.99581E-05,14.93766658,-5.52726E-06,-3.4808E-06,0,-1.45905E-05,6.02539E-05,8.95866243
3.928079734,3.35589E-05,7.90333E-05,14.93732742,-5.55553E-06,-3.46893E-06,0,-1.48454E-05,5.67279E-05,9.022047264
4.077451117,3.38203E-05,7.80125E-05,14.93695341,-5.58095E-06,-3.45432E-06,0,-1.50867E-05,5.32621E-05,9.084836152
4.226818969,3.40734E-05,7.69229E-05,14.93663403,-5.60381E-06,-3.43846E-06,0,-1.53163E-05,4.99211E-05,9.145451027
4.376184097,3.43177E-05,7.57911E-05,14.93640814,-5.62435E-06,-3.42277E-06,0,-1.55362E-05,4.67666E-05,9.201959408
4.525547308,3.45528E-05,7.46433E-05,14.93623981,-5.64273E-06,-3.40851E-06,0,-1.57483E-05,4.38389E-05,9.253538571
4.674908838,3.47783E-05,7.35034E-05,14.93606094,-5.65903E-06,-3.39668E-06,0,-1.59543E-05,4.11539E-05,9.300794679
4.824268347,3.49941E-05,7.23911E-05,14.9358337,-5.67329E-06,-3.38806E-06,0,-1.61555E-05,3.87161E-05,9.344859929
4.9736254,3.51999E-05,7.13209E-05,14.93557701,-5.68549E-06,-3.38329E-06,0,-1.63529E-05,3.65339E-05,9.386235603
5.122979946,3.53957E-05,7.03042E-05,14.93534069,-5.69565E-06,-3.38299E-06,0,-1.65476E-05,3.46242E-05,9.424402297
5.272332387,3.55812E-05,6.93507E-05,14.93515788,-5.70383E-06,-3.38768E-06,0,-1.67405E-05,3.30041E-05,9.45840004
5.421683248,3.57564E-05,6.84696E-05,14.93501965,-5.71019E-06,-3.39775E-06,0,-1.69322E-05,3.16781E-05,9.487728486
5.5710328,3.59213E-05,6.76677E-05,14.93488928,-5.715E-06,-3.41337E-06,0,-1.71233E-05,3.06344E-05,9.512756433
5.720380956,3.60758E-05,6.695E-05,14.9347377,-5.71847E-06,-3.43451E-06,0,-1.73139E-05,2.98518E-05,9.534380559
5.869727483,3.622E-05,6.63179E-05,14.93456636,-5.72086E-06,-3.46105E-06,0,-1.7504E-05,2.93102E-05,9.553351313
6.0190723,3.63539E-05,6.57704E-05,14.93440045,-5.72231E-06,-3.49283E-06,0,-1.76932E-05,2.89973E-05,9.569895169
6.168415588,3.64776E-05,6.53056E-05,14.93426306,-5.72296E-06,-3.52964E-06,0,-1.78814E-05,2.89038E-05,9.58390647
6.317757661,3.65912E-05,6.49215E-05,14.93415532,-5.72302E-06,-3.57122E-06,0,-1.80681E-05,2.90166E-05,9.595454739
6.467098731,3.66949E-05,6.4615E-05,14.93405843,-5.7227E-06,-3.61723E-06,0,-1.82531E-05,2.93141E-05,9.605128959
6.616438797,3.67886E-05,6.43822E-05,14.93395222,-5.7221E-06,-3.66721E-06,0,-1.84357E-05,2.97685E-05,9.613957703
6.765777727,3.68727E-05,6.42173E-05,14.93383204,-5.72125E-06,-3.72065E-06,0,-1.86153E-05,3.03532E-05,9.622865349
6.915115431,3.69472E-05,6.41135E-05,14.93370988,-5.72014E-06,-3.77707E-06,0,-1.87911E-05,3.1048E-05,9.631987472
7.064451971,3.70123E-05,6.40635E-05,14.93360131,-5.71874E-06,-3.83602E-06,0,-1.89625E-05,3.18381E-05,9.641070769
7.213787521,3.70682E-05,6.40609E-05,14.93351173,-5.71703E-06,-3.89705E-06,0,-1.91288E-05,3.27099E-05,9.649828062
7.363122244,3.71151E-05,6.40993E-05,14.93343356,-5.71499E-06,-3.95971E-06,0,-1.92896E-05,3.36461E-05,9.658184633
7.51245619,3.71531E-05,6.41729E-05,14.93335483,-5.71262E-06,-4.02354E-06,0,-1.94441E-05,3.46266E-05,9.666303922
7.661789319,3.71824E-05,6.42753E-05,14.93327005,-5.70989E-06,-4.08805E-06,0,-1.95917E-05,3.56319E-05,9.674408188
7.811121585,3.72032E-05,6.44003E-05,14.93318371,-5.70677E-06,-4.15283E-06,0,-1.97319E-05,3.66474E-05,9.682580407
7.960453018,3.72156E-05,6.45417E-05,14.93310474,-5.70323E-06,-4.21749E-06,0,-1.9864E-05,3.7664E-05,9.690718203
8.109783722,3.72199E-05,6.46943E-05,14.93303808,-5.69924E-06,-4.28173E-06,0,-1.99877E-05,3.86752E-05,9.698653192
8.259113812,3.72163E-05,6.48537E-05,14.93298111,-5.69476E-06,-4.34525E-06,0,-2.01025E-05,3.96737E-05,9.706306971
8.408443353,3.72049E-05,6.50163E-05,14.932927,-5.68978E-06,-4.40777E-06,0,-2.02083E-05,4.0651E-05,9.713745344
8.557772346,3.71859E-05,6.51787E-05,14.93287118,-5.68427E-06,-4.46904E-06,0,-2.03046E-05,4.15985E-05,9.721101534
8.707100774,3.71594E-05,6.53378E-05,14.93281476,-5.67822E-06,-4.52886E-06,0,-2.03912E-05,4.25107E-05,9.728454987
8.856428656,3.71257E-05,6.54909E-05,14.93276266,-5.67159E-06,-4.58705E-06,0,-2.04681E-05,4.33858E-05,9.73577574
9.005756055,3.7085E-05,6.56359E-05,14.93271875,-5.6644E-06,-4.64351E-06,0,-2.0535E-05,4.42244E-05,9.742970666
9.155083057,3.70374E-05,6.57716E-05,14.93268273,-5.65664E-06,-4.69816E-06,0,-2.05921E-05,4.50273E-05,9.749975671
9.304409724,3.69831E-05,6.58972E-05,14.93265104,-5.64835E-06,-4.75093E-06,0,-2.06392E-05,4.57943E-05,9.756808216
9.453736081,3.69223E-05,6.60126E-05,14.93262037,-5.63957E-06,-4.80178E-06,0,-2.06766E-05,4.65247E-05,9.763542216
9.603062133,3.68551E-05,6.61175E-05,14.93259037,-5.63035E-06,-4.85069E-06,0,-2.07042E-05,4.72191E-05,9.770239345
9.752387898,3.67819E-05,6.62121E-05,14.93256345,-5.62075E-06,-4.89767E-06,0,-2.07223E-05,4.788E-05,9.776902021
9.901713421,3.67026E-05,6.62969E-05,14.93254224,-5.61079E-06,-4.94276E-06,0,-2.07311E-05,4.85113E-05,9.783484258
10.05103876,3.66176E-05,6.63726E-05,14.93252731,-5.60054E-06,-0.000004986,0,-2.07307E-05,4.9117E-05,9.789941593
10.20036398,3.6527E-05,6.64404E-05,14.93251699,-5.59006E-06,-5.02747E-06,0,-2.07215E-05,4.97003E-05,9.796271344
10.34968911,3.6431E-05,6.65015E-05,14.93250916,-5.5794E-06,-5.06722E-06,0,-2.07037E-05,5.02633E-05,9.802510721
10.49901417,3.63297E-05,6.65567E-05,14.93250307,-5.56866E-06,-5.10532E-06,0,-2.06776E-05,5.08077E-05,9.808701345
10.64833918,3.62235E-05,6.66075E-05,14.93249975,-5.55782E-06,-5.14185E-06,0,-2.06435E-05,5.13367E-05,9.814855765
10.79766418,3.61124E-05,6.6655E-05,14.9325008,-5.54693E-06,-5.17689E-06,0,-2.06018E-05,5.18534E-05,9.82095399
10.94698922,3.59967E-05,6.66997E-05,14.93250695,-5.53604E-06,-5.21054E-06,0,-2.05526E-05,5.2361E-05,9.826967999
11.09631433,3.58765E-05,6.67436E-05,14.93251753,-5.52515E-06,-5.24286E-06,0,-2.04965E-05,5.28623E-05,9.832888832
11.24563958,3.5752E-05,6.67869E-05,14.93253128,-5.51434E-06,-5.27394E-06,0,-2.04336E-05,5.33584E-05,9.838732907
11.39496497,3.56234E-05,6.6831E-05,14.93254747,-5.5036E-06,-5.30385E-06,0,-2.03644E-05,5.38505E-05,9.844525626
