Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-0.047438147,15.00797481,-0.006465847,0.148561657,-358.8347695,-196.2223321,-0.005576404,-0.008490976,-0.337736676,10.05281199
-0.047312494,15.00801805,-0.006448203,0.147745142,-358.9830421,-196.2454847,-0.00556145,-0.008518654,-0.336937166,10.05126229
-0.047186809,15.00806088,-0.006430562,0.146930886,-359.1313259,-196.2685685,-0.005546498,-0.00849078,-0.335833795,10.04971541
-0.047061061,15.00810334,-0.00641292,0.146118888,-359.2796493,-196.2914769,-0.005531553,-0.008517278,-0.335019027,10.0481722
-0.046935085,15.00814539,-0.006395278,0.145309149,-359.4279763,-196.3142868,-0.005516604,-0.008517154,-0.334068561,10.04663186
-0.046809557,15.00818705,-0.006377642,0.144501667,-359.576332,-196.3369905,-0.005501647,-0.008502026,-0.333026233,10.04509512
-0.046683778,15.00822834,-0.006360003,0.143696441,-359.7247016,-196.359528,-0.005486628,-0.008529451,-0.332226084,10.04356182
-0.046557955,15.00826923,-0.006342367,0.142893472,-359.8730819,-196.3819975,-0.005471591,-0.008502088,-0.331126826,10.04203148
-0.04643208,15.00830974,-0.00632473,0.14209276,-360.0215005,-196.4042943,-0.005456539,-0.00852789,-0.33030764,10.04050495
-0.046305983,15.00834985,-0.006307093,0.141294306,-360.1699224,-196.4264934,-0.005441489,-0.008527925,-0.329358866,10.03898145
-0.046180321,15.00838957,-0.00628946,0.140498108,-360.318372,-196.4485882,-0.00542644,-0.008512679,-0.328315683,10.03746167
-0.046054404,15.00842893,-0.006271825,0.139704165,-360.4668347,-196.4705184,-0.005411395,-0.0085399,-0.327514834,10.03594546
-0.045928436,15.00846788,-0.006254193,0.138912478,-360.6153078,-196.4923816,-0.005396351,-0.008513088,-0.326419639,10.03443236
-0.045802429,15.00850646,-0.006236559,0.138123047,-360.7638178,-196.5140748,-0.005381309,-0.00853822,-0.3255961,10.03292318
-0.045676208,15.00854465,-0.006218925,0.137335874,-360.9123307,-196.5356711,-0.005366271,-0.008538437,-0.324648998,10.03141718
-0.045550412,15.00858244,-0.006201295,0.136550955,-361.0608704,-196.5571649,-0.005351233,-0.008523091,-0.323605049,10.02991502
-0.045424361,15.00861987,-0.006183662,0.135768291,-361.2094224,-196.5784958,-0.005336201,-0.008550126,-0.322803506,10.02841656
-0.045298253,15.0086569,-0.006166032,0.134987882,-361.3579844,-196.5997606,-0.00532117,-0.008523884,-0.321712388,10.02692133
-0.045172121,15.00869356,-0.006148401,0.134209729,-361.5065821,-196.6208582,-0.005306141,-0.008548363,-0.320884619,10.02543015
-0.045045783,15.00872984,-0.006130769,0.133433831,-361.6551822,-196.6418597,-0.005291117,-0.008548781,-0.319939224,10.02394228
